iter	Passed	Remaining
468	721	816
469	722	814
470	723	812
471	724	810
472	726	809
473	727	806
474	728	804
475	729	803
476	730	801
477	731	799
478	733	797
479	734	795
480	735	793
481	736	791
482	737	788
483	738	787
484	740	786
485	741	784
486	743	782
487	744	780
488	745	778
489	746	777
490	747	775
491	748	773
492	749	771
493	750	769
494	751	766
495	752	765
496	754	763
497	755	761
498	756	759
499	757	757
500	758	755
501	760	754
502	761	752
503	762	750
504	763	748
505	764	746
506	765	744
507	766	742
508	767	740
509	769	739
510	771	737
511	772	735
512	773	734
513	774	732
514	775	730
515	776	728
516	778	726
517	778	724
518	779	722
519	780	720
520	781	718
521	782	716
522	784	715
523	785	713
524	787	712
525	788	710
526	789	708
527	790	707
528	792	705
529	792	703
530	793	701
531	795	699
532	796	697
533	797	695
534	798	693
535	799	692
536	800	690
537	801	688
538	802	686
539	803	684
540	804	682
541	806	681
542	807	679
543	808	677
544	809	675
545	810	674
546	811	672
547	812	670
548	814	669
549	815	667
550	816	665
551	818	663
552	819	662
553	820	660
554	821	658
555	822	656
556	823	655
557	824	653
558	825	651
559	826	649
560	828	648
561	829	646
562	830	644
563	831	642
564	832	641
565	833	639
566	835	637
567	836	636
568	837	634
569	838	632
570	839	630
571	840	628
572	841	627
573	842	625
574	843	623
575	845	622
576	846	620
577	847	618
578	849	617
579	849	615
580	851	613
581	852	612
582	853	610
583	854	608
584	855	607
585	856	605
586	858	603
587	859	602
588	860	600
589	861	598
590	863	597
591	864	595
592	865	593
593	866	592
594	867	590
595	869	589
596	870	587
597	871	585
598	872	583
599	873	582
600	874	580
601	876	579
602	877	577
603	878	576
604	879	574
605	880	572
606	881	570
607	882	568
608	883	567
609	884	565
610	885	563
611	886	561
612	887	560
613	888	558
614	889	557
615	891	555
616	892	554
617	893	552
618	894	550
619	895	549
620	896	547
621	897	545
622	898	543
623	899	541
624	900	540
625	901	538
626	902	536
627	903	535
628	904	533
629	906	532
630	907	530
631	908	529
632	909	527
633	910	525
634	912	524
635	912	522
636	914	520
637	915	519
638	916	517
639	916	515
640	917	514
641	919	512
642	921	511
643	922	509
644	923	508
645	925	506
646	926	505
647	927	503
648	928	502
649	929	500
650	930	498
651	931	497
652	932	495
653	933	493
654	934	492
655	936	491
656	937	489
657	939	488
658	940	486
659	941	484
660	942	483
661	943	481
662	944	480
663	945	478
664	946	476
665	947	475
666	948	473
667	950	472
668	952	471
669	954	469
670	955	468
671	956	466
672	957	465
673	959	463
674	960	462
675	961	460
676	962	459
677	963	457
678	964	455
679	966	454
680	967	453
681	969	451
682	970	450
683	971	448
684	972	447
685	973	445
686	974	443
687	975	442
688	976	440
689	977	439
690	978	437
691	980	436
692	981	435
693	983	433
694	985	432
695	986	430
696	987	429
697	988	427
698	989	426
699	990	424
700	991	423
701	992	421
702	993	419
703	995	418
704	996	417
705	998	415
706	999	414
707	1000	412
708	1001	411
709	1002	409
710	1003	408
711	1004	406
712	1005	404
713	1006	403
714	1007	401
715	1008	400
716	1010	398
717	1012	397
718	1013	396
719	1014	394
720	1015	393
721	1016	391
722	1017	389
723	1019	388
724	1020	386
725	1021	385
726	1022	383
727	1023	382
728	1024	380
729	1025	379
730	1027	377
731	1028	376
732	1029	374
733	1030	373
734	1031	371
735	1032	370
736	1033	368
737	1034	367
738	1035	365
739	1036	364
